Date,Illnesses
01/11/2011,8
01/10/2011,3
01/08/2011,27
01/10/2011,40
01/08/2011,3
01/01/2011,4
01/01/2011,50
01/11/2011,2
01/10/2011,7
01/12/2011,33
01/11/2011,158
01/07/2011,4
01/07/2011,43
01/08/2011,4
01/07/2011,3
01/06/2011,2
01/06/2011,2
01/05/2011,2
01/03/2011,2
01/08/2011,3
01/07/2011,3
01/06/2011,7
01/07/2011,2
01/10/2011,3
01/07/2011,8
01/05/2011,5
01/11/2011,8
01/07/2011,23
01/12/2011,13
01/08/2011,4
01/11/2011,7
01/11/2011,14
01/11/2011,6
01/12/2011,10
01/12/2011,62
01/12/2011,12
01/12/2011,20
01/11/2011,3
01/12/2011,17
01/10/2011,15
01/11/2011,6
01/12/2011,4
01/12/2011,21
01/12/2011,20
01/11/2011,21
01/12/2011,30
01/04/2011,136
01/09/2011,18
01/07/2011,18
01/12/2011,48
01/07/2011,22
01/12/2011,11
01/12/2011,22
01/07/2011,47
01/10/2011,16
01/12/2011,25
01/12/2011,15
01/12/2011,10
01/11/2011,45
01/12/2011,100
01/12/2011,4
01/12/2011,2
01/12/2011,15
01/12/2011,7
01/12/2011,14
01/12/2011,21
01/12/2011,7
01/10/2011,3
01/12/2011,8
01/12/2011,11
01/12/2011,11
01/07/2011,9
01/12/2011,6
01/12/2011,4
01/12/2011,3
01/12/2011,16
01/09/2011,4
01/12/2011,17
01/12/2011,4
01/12/2011,4
01/12/2011,45
01/07/2011,10
01/12/2011,10
01/12/2011,18
01/12/2011,22
01/12/2011,11
01/09/2011,6
01/11/2011,23
01/11/2011,17
01/12/2011,7
01/12/2011,20
01/12/2011,18
01/12/2011,14
01/11/2011,3
01/09/2011,11
01/10/2011,7
01/01/2012,18
01/12/2011,35
01/11/2011,10
01/12/2011,8
01/12/2011,9
01/12/2011,9
01/12/2011,10
01/12/2011,4
01/12/2011,12
01/05/2011,20
01/01/2012,196
01/12/2011,2
01/09/2011,7
01/01/2012,2
01/11/2011,23
01/01/2012,41
01/01/2012,7
01/01/2012,9
01/12/2011,18
01/08/2011,2
01/10/2011,3
01/10/2011,33
01/11/2011,54
01/01/2012,21
01/01/2012,3
01/01/2012,10
01/01/2012,4
01/12/2011,5
01/08/2011,9
01/01/2012,7
01/12/2011,40
01/01/2012,4
01/01/2012,13
01/09/2011,6
01/01/2012,15
01/01/2012,2
01/10/2011,24
01/01/2012,4
01/12/2011,49
01/12/2011,11
01/01/2012,8
01/11/2011,9
01/01/2012,3
01/01/2012,4
01/01/2012,3
01/05/2011,11
01/01/2012,3
01/01/2012,14
01/01/2012,8
01/01/2012,7
01/07/2011,5
01/05/2011,2
01/11/2011,6
01/01/2012,10
01/01/2012,12
01/12/2011,8
01/03/2011,4
01/12/2011,5
01/01/2012,6
01/01/2012,12
01/12/2011,18
01/08/2011,5
01/04/2011,25
01/06/2011,3
01/02/2011,6
01/05/2011,4
01/12/2011,3
01/12/2011,2
01/01/2012,74
01/01/2012,9
01/01/2012,2
01/12/2011,2
01/12/2011,2
01/12/2011,21
01/12/2011,2
01/01/2012,3
01/01/2012,2
01/02/2012,13
01/07/2011,2
01/02/2011,16
01/08/2011,5
01/08/2011,5
01/02/2012,18
01/01/2012,8
01/02/2012,2
01/10/2011,10
01/06/2011,17
01/02/2012,16
01/02/2012,22
01/02/2012,15
01/01/2012,6
01/10/2011,4
01/11/2011,9
01/11/2011,2
01/11/2011,10
01/11/2011,2
01/12/2011,5
01/12/2011,5
01/12/2011,4
01/01/2012,6
01/01/2012,7
01/05/2011,28
01/07/2011,14
01/09/2011,14
01/02/2012,20
01/01/2012,141
01/02/2012,9
01/02/2012,17
01/02/2012,8
01/01/2011,2
01/01/2012,4
01/01/2012,17
01/12/2011,10
01/02/2012,4
01/02/2012,2
01/02/2012,4
01/02/2012,29
01/12/2011,8
01/09/2011,9
01/12/2011,12
01/01/2012,3
01/12/2011,3
01/01/2012,17
01/05/2011,22
01/12/2011,11
01/12/2011,32
01/01/2012,8
01/02/2012,2
01/02/2011,210
01/08/2011,2
01/04/2011,5
01/02/2012,2
01/12/2011,22
01/02/2012,9
01/02/2012,42
01/02/2012,4
01/02/2012,6
01/02/2012,3
01/02/2012,3
01/02/2012,11
01/11/2011,3
01/01/2012,13
01/01/2012,6
01/02/2012,14
01/02/2012,21
01/02/2011,2
01/03/2011,3
01/11/2011,9
01/02/2011,10
01/10/2011,25
01/01/2012,23
01/06/2011,5
01/06/2011,2
01/02/2012,8
01/01/2012,2
01/09/2011,2
01/02/2012,103
01/02/2012,7
01/02/2012,6
01/02/2012,11
01/02/2012,14
01/03/2012,11
01/01/2012,5
01/01/2012,2
01/01/2012,3
01/01/2012,3
01/02/2012,2
01/03/2012,2
01/02/2012,7
01/06/2011,13
01/01/2012,6
01/02/2012,29
01/02/2012,2
01/03/2012,2
01/03/2012,2
01/02/2012,3
01/12/2011,87
01/10/2011,4
01/11/2011,18
01/04/2011,9
01/08/2011,8
01/02/2012,9
01/02/2012,29
01/12/2011,38
01/09/2011,13
01/05/2011,42
01/12/2011,30
01/10/2011,22
01/01/2012,9
01/03/2012,8
01/01/2012,19
01/04/2011,27
01/09/2011,2
01/10/2011,2
01/09/2011,26
01/03/2012,31
01/03/2012,3
01/03/2012,9
01/05/2011,18
01/09/2011,20
01/10/2011,4
01/07/2011,22
01/03/2012,2
01/09/2011,6
01/03/2012,25
01/03/2012,14
01/12/2011,60
01/12/2011,6
01/03/2012,18
01/01/2012,5
01/01/2012,20
01/01/2012,22
01/02/2012,8
01/02/2012,27
01/03/2012,9
01/01/2012,23
01/07/2011,2
01/11/2011,8
01/03/2012,7
01/02/2012,9
01/02/2012,58
01/03/2012,14
01/09/2011,5
01/10/2011,11
01/10/2011,19
01/10/2011,4
01/03/2012,2
01/02/2012,19
01/03/2012,24
01/03/2012,14
01/03/2012,3
01/04/2012,16
01/02/2012,5
01/12/2011,7
01/03/2012,12
01/02/2012,2
01/12/2011,33
01/03/2012,7
01/08/2011,6
01/01/2012,11
01/04/2012,35
01/12/2011,14
01/04/2012,11
01/03/2012,10
01/03/2012,10
01/03/2012,19
01/10/2011,8
01/01/2012,8
01/04/2012,3
01/04/2012,13
01/01/2012,10
01/08/2011,2
01/03/2012,15
01/12/2011,6
01/12/2011,4
01/04/2012,22
01/04/2012,8
01/02/2012,2
01/02/2012,4
01/03/2012,2
01/04/2012,3
01/02/2012,8
01/01/2012,7
01/02/2012,9
01/11/2011,5
01/02/2012,5
01/01/2012,5
01/04/2012,29
01/03/2012,6
01/04/2012,16
01/04/2012,6
01/03/2012,5
01/06/2011,19
01/03/2012,3
01/01/2012,5
01/01/2012,35
01/01/2012,11
01/03/2012,2
01/04/2012,8
01/03/2012,2
01/02/2012,3
01/07/2011,22
01/01/2012,3
01/04/2012,4
01/02/2012,9
01/02/2012,8
01/02/2012,3
01/03/2012,2
01/02/2012,8
01/01/2012,3
01/02/2012,2
01/01/2012,2
01/04/2012,26
01/03/2012,55
01/04/2012,2
01/04/2012,20
01/04/2012,30
01/02/2012,3
01/03/2012,25
01/04/2012,3
01/04/2012,3
01/04/2012,4
01/04/2012,3
01/04/2012,7
01/03/2012,11
01/09/2011,8
01/04/2012,17
01/01/2012,2
01/01/2012,11
01/04/2012,6
01/04/2012,14
01/04/2012,5
01/05/2012,6
01/03/2012,9
01/03/2012,10
01/04/2012,6
01/03/2012,4
01/05/2012,4
01/04/2012,3
01/01/2012,2
01/03/2012,4
01/04/2012,28
01/02/2012,5
01/04/2012,8
01/04/2012,25
01/05/2012,9
01/03/2012,5
01/05/2012,3
01/05/2011,18
01/05/2012,15
01/05/2012,56
01/04/2012,5
01/05/2012,58
01/05/2012,20
01/05/2012,2
01/12/2011,20
01/05/2012,5
01/03/2012,14
01/04/2012,4
01/01/2012,21
01/04/2012,11
01/05/2012,70
01/05/2012,18
01/03/2012,4
01/03/2012,200
01/12/2011,17
01/09/2011,6
01/11/2011,88
01/11/2011,23
01/05/2012,6
01/05/2012,7
01/03/2012,7
01/04/2012,5
01/05/2012,7
01/05/2012,13
01/05/2012,15
01/05/2012,2
01/04/2012,2
01/05/2012,8
01/04/2012,14
01/06/2012,18
01/05/2012,8
01/05/2012,2
01/04/2012,4
01/04/2012,10
01/05/2012,13
01/05/2012,2
01/05/2012,10
01/04/2012,2
01/04/2012,11
01/05/2012,17
01/06/2012,7
01/03/2012,25
01/06/2012,15
01/02/2012,5
01/05/2012,5
01/05/2012,60
01/03/2012,5
01/05/2012,6
01/06/2012,4
01/04/2012,108
01/06/2012,8
01/01/2012,15
01/03/2012,189
01/05/2012,13
01/05/2012,33
01/06/2012,10
01/06/2012,9
01/04/2012,24
01/12/2011,4
01/01/2012,9
01/06/2012,14
01/06/2012,17
01/05/2012,20
01/06/2012,18
01/04/2012,14
01/06/2012,3
01/06/2012,5
01/07/2011,147
01/04/2012,2
01/02/2012,56
01/06/2012,5
01/05/2012,6
01/04/2012,5
01/05/2012,19
01/06/2012,3
01/06/2012,8
01/06/2012,10
01/05/2012,14
01/05/2012,2
01/03/2012,2
01/06/2012,3
01/02/2012,89
01/06/2012,3
01/01/2012,131
01/03/2012,9
01/01/2012,12
01/03/2012,33
01/04/2012,81
01/02/2011,72
01/12/2011,8
01/07/2012,2
01/07/2012,19
01/07/2012,3
01/06/2012,2
01/03/2012,8
01/07/2012,2
01/06/2012,15
01/01/2012,7
01/06/2011,3
01/07/2012,21
01/06/2012,11
01/07/2012,4
01/07/2011,9
01/06/2012,11
01/02/2012,54
01/07/2012,77
01/03/2012,2
01/03/2012,2
01/07/2012,5
01/04/2012,3
01/02/2012,6
01/05/2012,3
01/03/2012,4
01/05/2011,26
01/06/2012,237
01/07/2012,4
01/04/2012,42
01/05/2012,8
01/01/2011,93
01/11/2011,6
01/06/2012,2
01/03/2012,3
01/04/2011,10
01/05/2012,7
01/07/2012,3
01/07/2012,24
01/07/2012,2
01/04/2012,2
01/04/2012,35
01/01/2012,2
01/05/2012,6
01/06/2012,24
01/07/2012,244
01/05/2012,14
01/07/2012,9
01/02/2011,20
01/04/2012,2
01/04/2012,5
01/06/2012,9
01/07/2012,3
01/05/2012,7
01/07/2012,10
01/01/2011,14
01/07/2012,51
01/05/2012,6
01/05/2012,2
01/07/2012,7
01/04/2012,7
01/01/2011,106
01/05/2012,11
01/06/2012,3
01/07/2012,3
01/07/2012,3
01/06/2012,3
01/06/2012,4
01/06/2012,102
01/05/2012,12
01/06/2012,5
01/06/2012,14
01/04/2012,12
01/04/2012,3
01/05/2012,16
01/06/2012,15
01/06/2012,12
01/07/2012,27
01/08/2012,22
01/07/2012,2
01/07/2012,8
01/07/2012,10
01/08/2012,10
01/08/2012,10
01/06/2012,6
